t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.705,1.6083,1.75,-0.00807238,0,-0.00104067,0,2.6055,2.5,-0.012732,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.71,1.62279,1.75,-0.00704633,0,-0.00125144,0,2.58964,2.5,-0.0158649,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.715,1.63609,1.75,-0.00702354,0,-0.00131406,0,2.58789,2.5,-0.0237347,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.72,1.64928,1.75,-0.00620492,0,-0.00147793,0,2.57877,2.5,-0.0171758,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.725,1.66208,1.75,-0.00541451,0,-0.00146893,0,2.65974,2.5,-0.0121897,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.73,1.67525,1.75,-0.00650797,0,-0.00166392,0,2.70254,2.5,-0.0206641,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.735,1.68881,1.75,-0.00697464,0,-0.0016644,0,2.65902,2.5,-0.0343543,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.74,1.70262,1.75,-0.00595053,0,-0.00182292,0,2.63346,2.5,-0.0323739,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.745,1.71677,1.75,-0.00818999,0,-0.00195574,0,2.66316,2.5,-0.0354996,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.75,1.72913,1.75,-0.00796443,0,-0.00191647,0,2.61515,2.5,-0.0329051,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.755,1.74185,1.75,-0.00866288,0,-0.00199249,0,2.54363,2.5,-0.031426,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.76,1.75476,1.75,-0.00947975,0,-0.00225732,0,2.62298,2.5,-0.0296521,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.765,1.76729,1.75,-0.0118872,0,-0.00230316,0,2.58548,2.5,-0.0344981,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.77,1.77866,1.75,-0.0137279,0,-0.00230961,0,2.57479,2.5,-0.029404,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.775,1.79203,1.75,-0.0142861,0,-0.00245001,0,2.61033,2.5,-0.0355745,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.78,1.80641,1.75,-0.0150826,0,-0.00255878,0,2.597,2.5,-0.0306461,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.785,1.81894,1.75,-0.0137608,0,-0.0026666,0,2.61817,2.5,-0.0293319,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.79,1.83132,1.75,-0.0115969,0,-0.00279647,0,2.59032,2.5,-0.0227104,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.795,1.84471,1.75,-0.0131466,0,-0.00295864,0,2.49183,2.5,-0.0229273,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
0.8,1.85802,2,-0.0131194,0,-0.00297637,0,2.45873,2.5,-0.0185806,0,-0.251238,0.10279,1.72717,-0.20039,1.85969,-0.0580973
