t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
16.9,42.0806,42,0.184478,0,-0.00398092,0,2.32579,2.5,-0.054033,0,0.153494,0.0108579,0.198749,0.275851
17,42.2985,42.5,0.206197,0,-0.00771981,0,1.90987,2.5,-0.0450182,0,0.988737,-0.073013,0.223111,0.2814
17.1,42.4812,42.75,0.238813,0,-0.00980611,0,1.82698,2.5,-0.0518662,0,1.49065,-0.0527562,0.208737,0.286246
17.2,42.6647,42.75,0.271098,0,-0.0120898,0,1.8469,2.5,-0.0510095,0,1.69336,-0.0576885,0.216102,0.290376
17.3,42.8629,43.25,0.294241,0,-0.0183387,0,1.77692,2.5,-0.116849,0,2.0015,0.115032,0.233544,0.29378
17.4,43.027,43.5,0.322389,0,-0.024514,0,1.69327,2.5,-0.144828,0,2.37627,0.184292,0.229555,0.29645
17.5,43.2072,43.75,0.348021,0,-0.0322344,0,2.02121,2.5,-0.0932241,0,2.02997,0.0585906,0.258471,0.29838
17.6,43.4083,44,0.38004,0,-0.0397688,0,2.09227,2.5,-0.125456,0,1.85167,0.178729,0.23197,0.299563
17.7,43.6159,44,0.392278,0,-0.0477653,0,1.91577,2.5,-0.120506,0,2.14142,0.189925,0.235614,0.299998
17.8,43.8236,44.5,0.4179,0,-0.0552413,0,2.29399,2.5,-0.0789019,0,1.64759,0.0910081,0.258145,0.299682
17.9,44.0571,44.75,0.43408,0,-0.0610452,0,2.34538,2.5,-0.0898018,0,1.42389,0.150105,0.254639,0.298618
18,44.3031,45,0.451298,0,-0.0678807,0,2.51361,2.5,-0.072985,0,1.0564,0.134591,0.26186,0.296807
18.1,44.585,45.25,0.456965,0,-0.0752141,0,3.21746,2.5,-0.0699623,0,-0.64901,0.159039,0.288193,0.294255
18.2,44.8969,45.25,0.457005,0,-0.0810848,0,2.99566,2.5,-0.0495677,0,-0.338167,0.134996,0.275171,0.290967
18.3,45.1898,45.75,0.460309,0,-0.0852124,0,2.87217,2.5,-0.021138,0,-0.253495,0.0880867,0.295279,0.286952
18.4,45.4621,46,0.464667,0,-0.0876994,0,2.54503,2.5,-0.0341745,0,0.074609,0.117032,0.347749,0.282219
18.5,45.7127,46.25,0.474023,0,-0.0893036,0,2.50532,2.5,-0.0310473,0,0.096019,0.113625,0.358025,0.276781
18.6,45.9831,46.5,0.48219,0,-0.0895457,0,2.89767,2.5,0.00030225,0,-0.290641,0.0437128,0.343234,0.270652
18.7,46.2562,46.5,0.485541,0,-0.0897816,0,2.78887,2.5,-0.00823606,0,-0.178926,0.117914,0.299339,0.263845
18.8,46.5426,47,0.483225,0,-0.091346,0,2.75273,2.5,-0.027412,0,-0.169835,0.157474,0.29804,0.25638
18.9,46.8254,47.25,0.486548,0,-0.0937335,0,2.92113,2.5,-0.020202,0,-0.358282,0.138051,0.332197,0.248273
19,47.1016,47.5,0.486014,0,-0.095901,0,2.65606,2.5,-0.00261066,0,-0.0966335,0.119595,0.367531,0.239546
19.1,47.3686,47.75,0.478979,0,-0.0951143,0,2.45179,2.5,0.00823751,0,0.108041,0.11166,0.358411,0.23022
19.2,47.6201,47.75,0.468225,0,-0.0950024,0,2.42901,2.5,0.0120518,0,0.0980073,0.127453,0.339169,0.220319
19.3,47.8485,48.25,0.469339,0,-0.0930292,0,2.10337,2.5,0.0490076,0,0.928212,0.0189536,0.346771,0.209867
19.4,48.0754,48.5,0.472299,0,-0.0885798,0,2.58556,2.5,0.0502333,0,-0.0760467,0.0916393,0.298358,0.198891
19.5,48.3398,48.75,0.465531,0,-0.0826653,0,2.61539,2.5,0.0850033,0,-0.0505152,-0.00300653,0.280747,0.187417
19.6,48.6031,49,0.462099,0,-0.0753376,0,2.81096,2.5,0.076,0,-0.319126,0.0533453,0.27458,0.175475
19.7,48.8632,49,0.460592,0,-0.069309,0,2.64165,2.5,0.0826563,0,-0.137287,0.0439018,0.243181,0.163095
